num_params,num_params_q,model_size,model_size_q,flops_total,flops_fp,flops_q,flops_combined,activation_method,approximation,augmentation,batch_norm,batch_size,bits,bits_a,block_config,builtin_profiler,clip_threshold,data_dir,data_path,dataset,dilated,downsample_sc_groups,downsample_structure,dry_run,dtype,epochs,fp_downsample_sc,gpus,growth_rate,init_features,initial_layers,initialization,interrupt_at,kvstore,log,log_interval,lr,lr_factor,lr_mode,lr_steps,mode,model,momentum,num_workers,optimizer,plot_network,pool_downsample_sc,prefix,profile,progress,reduction,resume,resume_states,save_frequency,seed,slices,start_epoch,test_run,use_pretrained,warmup_epochs,warmup_lr,wd,weight_quantization,write_summary,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
11328328,10321920,43.21,5.07,5600000000.0,128850000.0,5470000000.0,214310000.0,det_sign,,medium,,32,1,1,"4,6,8,6",0,1.3,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001793,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.7,2.7,2.7",model/densenet_flex_1bit_0021_acc_0.5906.params,model/densenet_flex_1bit_0021_acc_0.5906.states,1,123,,22,False,False,0,0.0,0.0,det_sign,meta/tblogs,25, 4329.994883,b75427ab9a420b4bd5cbc1472e05b558,0.596591,0.820323,0.541783,0.764197
11328328,10321920,43.21,5.07,5600000000.0,128850000.0,5470000000.0,214310000.0,det_sign,,medium,,32,1,1,"4,6,8,6",0,1.3,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001777,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.7,2.7,2.7",model/densenet_flex_1bit_0021_acc_0.5906.params,model/densenet_flex_1bit_0021_acc_0.5906.states,1,123,,22,False,False,0,0.0,0.0,det_sign,meta/tblogs,26, 4334.519988,b75427ab9a420b4bd5cbc1472e05b558,0.599952,0.820863,0.542931,0.765593
11328328,10321920,43.21,5.07,5600000000.0,128850000.0,5470000000.0,214310000.0,det_sign,,medium,,32,1,1,"4,6,8,6",0,1.3,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001760,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.7,2.7,2.7",model/densenet_flex_1bit_0021_acc_0.5906.params,model/densenet_flex_1bit_0021_acc_0.5906.states,1,123,,22,False,False,0,0.0,0.0,det_sign,meta/tblogs,27, 4336.588935,b75427ab9a420b4bd5cbc1472e05b558,0.601303,0.823869,0.545766,0.767341
11328328,10321920,43.21,5.07,5600000000.0,128850000.0,5470000000.0,214310000.0,det_sign,,medium,,32,1,1,"4,6,8,6",0,1.3,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001743,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.7,2.7,2.7",model/densenet_flex_1bit_0021_acc_0.5906.params,model/densenet_flex_1bit_0021_acc_0.5906.states,1,123,,22,False,False,0,0.0,0.0,det_sign,meta/tblogs,28, 4330.840644,b75427ab9a420b4bd5cbc1472e05b558,0.599612,0.822023,0.547602,0.768305
11328328,10321920,43.21,5.07,5600000000.0,128850000.0,5470000000.0,214310000.0,det_sign,,medium,,32,1,1,"4,6,8,6",0,1.3,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001725,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.7,2.7,2.7",model/densenet_flex_1bit_0021_acc_0.5906.params,model/densenet_flex_1bit_0021_acc_0.5906.states,1,123,,22,False,False,0,0.0,0.0,det_sign,meta/tblogs,29, 4331.543156,b75427ab9a420b4bd5cbc1472e05b558,0.604373,0.825404,0.548876,0.769401
11328328,10321920,43.21,5.07,5600000000.0,128850000.0,5470000000.0,214310000.0,det_sign,,medium,,32,1,1,"4,6,8,6",0,1.3,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001707,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.7,2.7,2.7",model/densenet_flex_1bit_0021_acc_0.5906.params,model/densenet_flex_1bit_0021_acc_0.5906.states,1,123,,22,False,False,0,0.0,0.0,det_sign,meta/tblogs,30, 4337.425897,b75427ab9a420b4bd5cbc1472e05b558,0.603153,0.824824,0.550595,0.771198
11328328,10321920,43.21,5.07,5600000000.0,128850000.0,5470000000.0,214310000.0,det_sign,,medium,,32,1,1,"4,6,8,6",0,1.3,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001688,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.7,2.7,2.7",model/densenet_flex_1bit_0021_acc_0.5906.params,model/densenet_flex_1bit_0021_acc_0.5906.states,1,123,,22,False,False,0,0.0,0.0,det_sign,meta/tblogs,31, 4337.790779,b75427ab9a420b4bd5cbc1472e05b558,0.602362,0.825547,0.552147,0.772817
11328328,10321920,43.21,5.07,5600000000.0,128850000.0,5470000000.0,214310000.0,det_sign,,medium,,32,1,1,"4,6,8,6",0,1.3,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001669,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.7,2.7,2.7",model/densenet_flex_1bit_0021_acc_0.5906.params,model/densenet_flex_1bit_0021_acc_0.5906.states,1,123,,22,False,False,0,0.0,0.0,det_sign,meta/tblogs,32, 4337.074170,b75427ab9a420b4bd5cbc1472e05b558,0.605134,0.825804,0.554097,0.774017
11328328,10321920,43.21,5.07,5600000000.0,128850000.0,5470000000.0,214310000.0,det_sign,,medium,,32,1,1,"4,6,8,6",0,1.3,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001649,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.7,2.7,2.7",model/densenet_flex_1bit_0021_acc_0.5906.params,model/densenet_flex_1bit_0021_acc_0.5906.states,1,123,,22,False,False,0,0.0,0.0,det_sign,meta/tblogs,33, 4334.319743,b75427ab9a420b4bd5cbc1472e05b558,0.605574,0.826464,0.555255,0.774679
11328328,10321920,43.21,5.07,5600000000.0,128850000.0,5470000000.0,214310000.0,det_sign,,medium,,32,1,1,"4,6,8,6",0,1.3,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001629,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.7,2.7,2.7",model/densenet_flex_1bit_0021_acc_0.5906.params,model/densenet_flex_1bit_0021_acc_0.5906.states,1,123,,22,False,False,0,0.0,0.0,det_sign,meta/tblogs,34, 4339.472804,b75427ab9a420b4bd5cbc1472e05b558,0.606614,0.827945,0.556822,0.775912
11328328,10321920,43.21,5.07,5600000000.0,128850000.0,5470000000.0,214310000.0,det_sign,,medium,,32,1,1,"4,6,8,6",0,1.3,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001609,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.7,2.7,2.7",model/densenet_flex_1bit_0021_acc_0.5906.params,model/densenet_flex_1bit_0021_acc_0.5906.states,1,123,,22,False,False,0,0.0,0.0,det_sign,meta/tblogs,35, 4335.907238,b75427ab9a420b4bd5cbc1472e05b558,0.606578,0.827965,0.558557,0.777631
11328328,10321920,43.21,5.07,5600000000.0,128850000.0,5470000000.0,214310000.0,det_sign,,medium,,32,1,1,"4,6,8,6",0,1.3,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001588,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.7,2.7,2.7",model/densenet_flex_1bit_0021_acc_0.5906.params,model/densenet_flex_1bit_0021_acc_0.5906.states,1,123,,22,False,False,0,0.0,0.0,det_sign,meta/tblogs,36, 4339.155221,b75427ab9a420b4bd5cbc1472e05b558,0.612976,0.831046,0.559944,0.778224
11328328,10321920,43.21,5.07,5600000000.0,128850000.0,5470000000.0,214310000.0,det_sign,,medium,,32,1,1,"4,6,8,6",0,1.3,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001566,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.7,2.7,2.7",model/densenet_flex_1bit_0021_acc_0.5906.params,model/densenet_flex_1bit_0021_acc_0.5906.states,1,123,,22,False,False,0,0.0,0.0,det_sign,meta/tblogs,37, 4333.941745,b75427ab9a420b4bd5cbc1472e05b558,0.612036,0.830726,0.560638,0.779163
11328328,10321920,43.21,5.07,5600000000.0,128850000.0,5470000000.0,214310000.0,det_sign,,medium,,32,1,1,"4,6,8,6",0,1.3,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001545,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.7,2.7,2.7",model/densenet_flex_1bit_0021_acc_0.5906.params,model/densenet_flex_1bit_0021_acc_0.5906.states,1,123,,22,False,False,0,0.0,0.0,det_sign,meta/tblogs,38, 4338.615005,b75427ab9a420b4bd5cbc1472e05b558,0.611256,0.831826,0.562953,0.780710
