batch_norm,batch_size,bits,builtin_profiler,data_dir,dataset,dtype,epochs,gpus,kvstore,log_interval,lr,lr_factor,lr_steps,mode,model,momentum,num_workers,optimizer,prefix,profile,resume,save_frequency,seed,start_epoch,use_pretrained,use_thumbnail,wd,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,21,,.,0.784455,0.988582,0.805649,0.990465,0.784455,0.988582,0.805649,0.990465
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,22,,.,0.797776,0.989884,0.810817,0.991747,0.797776,0.989884,0.810817,0.991747
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,23,,.,0.761418,0.983373,0.815230,0.991051,0.761418,0.983373,0.815230,0.991051
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,24,,.,0.799780,0.989683,0.817027,0.992127,0.799780,0.989683,0.817027,0.992127
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,25,,.,0.800280,0.989884,0.822736,0.992488,0.800280,0.989884,0.822736,0.992488
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,26,,.,0.807893,0.991587,0.826291,0.992845,0.807893,0.991587,0.826291,0.992845
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,27,,.,0.807993,0.992188,0.830208,0.992949,0.807993,0.992188,0.830208,0.992949
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,28,,.,0.818510,0.990785,0.833934,0.993049,0.818510,0.990785,0.833934,0.993049
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,29,,.,0.821314,0.992989,0.837671,0.993264,0.821314,0.992989,0.837671,0.993264
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,30,,.,0.817608,0.991186,0.840325,0.993910,0.817608,0.991186,0.840325,0.993910
