augmentation_level,batch_norm,batch_size,bits,bits_a,builtin_profiler,clip_threshold,data_dir,data_path,dataset,dtype,epochs,gpus,growth_rate,init_features,initialization,kvstore,log,log_interval,lr,lr_factor,lr_steps,mean_subtraction,mode,model,momentum,num_workers,optimizer,plot_network,prefix,profile,reduction,resume,save_frequency,seed,start_epoch,use_pretrained,wd,write_summary,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",128,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet21,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),17,,.,0.454404,0.697071,0.497926,0.734936
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",128,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet21,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),18,,.,0.463948,0.704005,0.501389,0.738416
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",128,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet21,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),19,,.,0.468570,0.710187,0.504852,0.741327
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",128,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet21,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),20,,.,0.470310,0.708947,0.508093,0.743730
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",128,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet21,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),21,,.,0.460418,0.700747,0.510613,0.746541
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",128,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet21,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),22,,.,0.458627,0.700144,0.513253,0.748547
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",128,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet21,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),23,,.,0.465429,0.706846,0.515669,0.750643
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",128,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet21,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),24,,.,0.476653,0.716409,0.518789,0.752795
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",128,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet21,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),25,,.,0.465773,0.707141,0.520589,0.755202
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",128,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet21,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),26,,.,0.474692,0.716089,0.522382,0.756272
