batch_norm,batch_size,bits,builtin_profiler,data_dir,dataset,dtype,epochs,gpus,kvstore,log_interval,lr,lr_factor,lr_steps,mode,model,momentum,num_workers,optimizer,prefix,profile,resume,save_frequency,seed,start_epoch,use_pretrained,use_thumbnail,wd,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
False,128,1,0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,imagenet,float32,50,"2,3",device,50,0.001,0.1,"40,45",imperative,resnet18_v1-scaled,0.9,4,adam,model,False,,10,123,0,False,,0.0,1,,.,0.159407,0.348985,0.090240,0.218738,0.159407,0.348985,0.090240,0.218738
False,128,1,0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,imagenet,float32,50,"2,3",device,50,0.001,0.1,"40,45",imperative,resnet18_v1-scaled,0.9,4,adam,model,False,,10,123,0,False,,0.0,2,,.,0.247582,0.476782,0.217633,0.430667,0.247582,0.476782,0.217633,0.430667
False,128,1,0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,imagenet,float32,50,"2,3",device,50,0.001,0.1,"40,45",imperative,resnet18_v1-scaled,0.9,4,adam,model,False,,10,123,0,False,,0.0,3,,.,0.300160,0.534535,0.286262,0.518518,0.300160,0.534535,0.286262,0.518518
False,128,1,0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,imagenet,float32,50,"2,3",device,50,0.001,0.1,"40,45",imperative,resnet18_v1-scaled,0.9,4,adam,model,False,,10,123,0,False,,0.0,4,,.,0.328485,0.569893,0.328108,0.567571,0.328485,0.569893,0.328108,0.567571
False,128,1,0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,imagenet,float32,50,"2,3",device,50,0.001,0.1,"40,45",imperative,resnet18_v1-scaled,0.9,4,adam,model,False,,10,123,0,False,,0.0,5,,.,0.326906,0.566816,0.357444,0.599656,0.326906,0.566816,0.357444,0.599656
False,128,1,0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,imagenet,float32,50,"2,3",device,50,0.001,0.1,"40,45",imperative,resnet18_v1-scaled,0.9,4,adam,model,False,,10,123,0,False,,0.0,6,,.,0.361779,0.604667,0.379170,0.622993,0.361779,0.604667,0.379170,0.622993
False,128,1,0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,imagenet,float32,50,"2,3",device,50,0.001,0.1,"40,45",imperative,resnet18_v1-scaled,0.9,4,adam,model,False,,10,123,0,False,,0.0,7,,.,0.360973,0.604460,0.396648,0.640470,0.360973,0.604460,0.396648,0.640470
False,128,1,0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,imagenet,float32,50,"2,3",device,50,0.001,0.1,"40,45",imperative,resnet18_v1-scaled,0.9,4,adam,model,False,,10,123,0,False,,0.0,8,,.,0.375741,0.620212,0.410438,0.654641,0.375741,0.620212,0.410438,0.654641
False,128,1,0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,imagenet,float32,50,"2,3",device,50,0.001,0.1,"40,45",imperative,resnet18_v1-scaled,0.9,4,adam,model,False,,10,123,0,False,,0.0,9,,.,0.392343,0.639766,0.421757,0.666353,0.392343,0.639766,0.421757,0.666353
False,128,1,0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,imagenet,float32,50,"2,3",device,50,0.001,0.1,"40,45",imperative,resnet18_v1-scaled,0.9,4,adam,model,False,,10,123,0,False,,0.0,10,,.,0.397978,0.642923,0.432309,0.675955,0.397978,0.642923,0.432309,0.675955
False,128,1,0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,imagenet,float32,50,"2,3",device,50,0.001,0.1,"40,45",imperative,resnet18_v1-scaled,0.9,4,adam,model,False,,10,123,0,False,,0.0,11,,.,0.407131,0.652905,0.440642,0.684414,0.407131,0.652905,0.440642,0.684414
False,128,1,0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,imagenet,float32,50,"2,3",device,50,0.001,0.1,"40,45",imperative,resnet18_v1-scaled,0.9,4,adam,model,False,,10,123,0,False,,0.0,12,,.,0.415241,0.662164,0.447937,0.691264,0.415241,0.662164,0.447937,0.691264
False,128,1,0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,imagenet,float32,50,"2,3",device,50,0.001,0.1,"40,45",imperative,resnet18_v1-scaled,0.9,4,adam,model,False,,10,123,0,False,,0.0,13,,.,0.419697,0.666280,0.454757,0.697717,0.419697,0.666280,0.454757,0.697717
False,128,1,0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,imagenet,float32,50,"2,3",device,50,0.001,0.1,"40,45",imperative,resnet18_v1-scaled,0.9,4,adam,model,False,,10,123,0,False,,0.0,14,,.,0.427945,0.673317,0.461665,0.703177,0.427945,0.673317,0.461665,0.703177
False,128,1,0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,imagenet,float32,50,"2,3",device,50,0.001,0.1,"40,45",imperative,resnet18_v1-scaled,0.9,4,adam,model,False,,10,123,0,False,,0.0,15,,.,0.421435,0.665241,0.465964,0.708348,0.421435,0.665241,0.465964,0.708348
False,128,1,0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,imagenet,float32,50,"2,3",device,50,0.001,0.1,"40,45",imperative,resnet18_v1-scaled,0.9,4,adam,model,False,,10,123,0,False,,0.0,16,,.,0.436959,0.679968,0.471218,0.712389,0.436959,0.679968,0.471218,0.712389
False,128,1,0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,imagenet,float32,50,"2,3",device,50,0.001,0.1,"40,45",imperative,resnet18_v1-scaled,0.9,4,adam,model,False,,10,123,0,False,,0.0,17,,.,0.437220,0.681805,0.476008,0.716813,0.437220,0.681805,0.476008,0.716813
False,128,1,0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,imagenet,float32,50,"2,3",device,50,0.001,0.1,"40,45",imperative,resnet18_v1-scaled,0.9,4,adam,model,False,,10,123,0,False,,0.0,18,,.,0.441316,0.685002,0.479979,0.720521,0.441316,0.685002,0.479979,0.720521
