activation_method,add_relu_to_downsample,augmentation_level,batch_size,bits,bits_a,builtin_profiler,clip_threshold,data_dir,data_path,dataset,dry_run,dtype,epochs,fp_downsample_sc,gpus,growth_rate,init_features,initialization,kvstore,log,log_interval,lr,lr_factor,lr_steps,mean_subtraction,mode,model,momentum,num_workers,optimizer,plot_network,prefix,profile,reduction,resume,save_frequency,seed,start_epoch,use_pretrained,wd,weight_quantization,write_summary,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),12, 1504.466950,.,0.508911,0.747742,0.540568,0.773797
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),13, 1503.211034,.,0.521160,0.758991,0.546027,0.778529
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),14, 1505.959076,.,0.518630,0.756751,0.552509,0.783172
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),15, 1506.649300,.,0.517323,0.756034,0.556965,0.786988
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),16, 1505.837126,.,0.524559,0.761879,0.561503,0.791128
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),17, 1506.676070,.,0.524936,0.763987,0.565974,0.793629
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),18, 1505.518636,.,0.524237,0.762228,0.569662,0.796594
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),19, 1505.174502,.,0.531290,0.767969,0.572894,0.799700
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),20, 1505.137762,.,0.498162,0.740409,0.575606,0.801827
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),21, 1504.555860,.,0.533967,0.771260,0.578813,0.804359
