add_relu_to_downsample,augmentation_level,batch_norm,batch_size,bits,bits_a,builtin_profiler,clip_threshold,data_dir,data_path,dataset,dry_run,dtype,epochs,fp_downsample_sc,gpus,growth_rate,init_features,initialization,kvstore,log,log_interval,lr,lr_factor,lr_steps,mean_subtraction,mode,model,momentum,num_workers,optimizer,plot_network,pool_downsample_sc,prefix,profile,reduction,resume,save_frequency,seed,slices,start_epoch,use_approx_sign,use_pretrained,wd,write_summary,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
True,3,,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,50,True,"0,1",64,64,gaussian,device,image-classification.log,20,0.001,0.1,"40,45",False,hybrid,densenet37,0.9,4,adam,meta/plot,,model,False,"2,2,2",,1,123,,0,,False,0.0,meta/tblogs'),13,,.,0.501938,0.741228,0.519715,0.756066
True,3,,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,50,True,"0,1",64,64,gaussian,device,image-classification.log,20,0.001,0.1,"40,45",False,hybrid,densenet37,0.9,4,adam,meta/plot,,model,False,"2,2,2",,1,123,,0,,False,0.0,meta/tblogs'),14,,.,0.495579,0.738956,0.524296,0.760275
True,3,,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,50,True,"0,1",64,64,gaussian,device,image-classification.log,20,0.001,0.1,"40,45",False,hybrid,densenet37,0.9,4,adam,meta/plot,,model,False,"2,2,2",,1,123,,0,,False,0.0,meta/tblogs'),15,,.,0.512584,0.750920,0.527983,0.762936
True,3,,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,50,True,"0,1",64,64,gaussian,device,image-classification.log,20,0.001,0.1,"40,45",False,hybrid,densenet37,0.9,4,adam,meta/plot,,model,False,"2,2,2",,1,123,,0,,False,0.0,meta/tblogs'),16,,.,0.509363,0.748520,0.531744,0.766064
True,3,,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,50,True,"0,1",64,64,gaussian,device,image-classification.log,20,0.001,0.1,"40,45",False,hybrid,densenet37,0.9,4,adam,meta/plot,,model,False,"2,2,2",,1,123,,0,,False,0.0,meta/tblogs'),17,,.,0.511269,0.751519,0.534888,0.769019
True,3,,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,50,True,"0,1",64,64,gaussian,device,image-classification.log,20,0.001,0.1,"40,45",False,hybrid,densenet37,0.9,4,adam,meta/plot,,model,False,"2,2,2",,1,123,,0,,False,0.0,meta/tblogs'),18,,.,0.515065,0.752381,0.537857,0.771574
True,3,,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,50,True,"0,1",64,64,gaussian,device,image-classification.log,20,0.001,0.1,"40,45",False,hybrid,densenet37,0.9,4,adam,meta/plot,,model,False,"2,2,2",,1,123,,0,,False,0.0,meta/tblogs'),19,,.,0.514265,0.753901,0.540457,0.773416
True,3,,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,50,True,"0,1",64,64,gaussian,device,image-classification.log,20,0.001,0.1,"40,45",False,hybrid,densenet37,0.9,4,adam,meta/plot,,model,False,"2,2,2",,1,123,,0,,False,0.0,meta/tblogs'),20,,.,0.513704,0.754141,0.543436,0.775937
True,3,,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,50,True,"0,1",64,64,gaussian,device,image-classification.log,20,0.001,0.1,"40,45",False,hybrid,densenet37,0.9,4,adam,meta/plot,,model,False,"2,2,2",,1,123,,0,,False,0.0,meta/tblogs'),21,,.,0.521200,0.759431,0.546086,0.777791
True,3,,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,50,True,"0,1",64,64,gaussian,device,image-classification.log,20,0.001,0.1,"40,45",False,hybrid,densenet37,0.9,4,adam,meta/plot,,model,False,"2,2,2",,1,123,,0,,False,0.0,meta/tblogs'),22,,.,0.518886,0.758603,0.547574,0.779290
